PLAYER_NAME,SEASON,GAME_DATE,MATCHUP,PTS,REB,AST
Mikal Bridges,2025-26,2026-04-12,NYK vs. CHA,0,0,0
De'Aaron Fox,2025-26,2026-04-12,SAS vs. DEN,24,6,5
Devin Vassell,2025-26,2026-04-12,SAS vs. DEN,19,4,2
Keldon Johnson,2025-26,2026-04-12,SAS vs. DEN,18,6,1
Jalen Brunson,2025-26,2026-04-10,NYK vs. TOR,29,3,2
Keldon Johnson,2025-26,2026-04-10,SAS vs. DAL,17,6,2
OG Anunoby,2025-26,2026-04-10,NYK vs. TOR,2,5,3
Josh Hart,2025-26,2026-04-10,NYK vs. TOR,3,4,2
Victor Wembanyama,2025-26,2026-04-10,SAS vs. DAL,40,13,5
Karl-Anthony Towns,2025-26,2026-04-10,NYK vs. TOR,22,10,5
De'Aaron Fox,2025-26,2026-04-10,SAS vs. DAL,18,1,10
Devin Vassell,2025-26,2026-04-10,SAS vs. DAL,5,2,2
Mikal Bridges,2025-26,2026-04-10,NYK vs. TOR,13,1,3
Karl-Anthony Towns,2025-26,2026-04-09,NYK vs. BOS,16,12,4
Jalen Brunson,2025-26,2026-04-09,NYK vs. BOS,25,1,10
Mikal Bridges,2025-26,2026-04-09,NYK vs. BOS,10,2,6
Josh Hart,2025-26,2026-04-09,NYK vs. BOS,26,1,3
OG Anunoby,2025-26,2026-04-09,NYK vs. BOS,13,4,1
Stephon Castle,2025-26,2026-04-08,OKC @ LAC,18,6,6
Keldon Johnson,2025-26,2026-04-08,SAS vs. POR,20,8,1
De'Aaron Fox,2025-26,2026-04-08,SAS vs. POR,25,5,7
Devin Vassell,2025-26,2026-04-08,SAS vs. POR,14,8,1
Julius Randle,2025-26,2026-04-07,MIN @ IND,19,2,4
Victor Wembanyama,2025-26,2026-04-06,SAS vs. PHI,17,5,1
Karl-Anthony Towns,2025-26,2026-04-06,NYK @ ATL,21,12,6
Mikal Bridges,2025-26,2026-04-06,NYK @ ATL,15,5,2
Keldon Johnson,2025-26,2026-04-06,SAS vs. PHI,13,9,1
Josh Hart,2025-26,2026-04-06,NYK @ ATL,2,5,3
De'Aaron Fox,2025-26,2026-04-06,SAS vs. PHI,13,0,4
OG Anunoby,2025-26,2026-04-06,NYK @ ATL,22,5,1
Devin Vassell,2025-26,2026-04-06,SAS vs. PHI,9,4,4
Jalen Brunson,2025-26,2026-04-06,NYK @ ATL,30,3,13
Julius Randle,2025-26,2026-04-05,MIN vs. CHA,26,8,4
Stephon Castle,2025-26,2026-04-05,OKC vs. UTA,15,2,7
Keldon Johnson,2025-26,2026-04-04,SAS @ DEN,10,2,0
De'Aaron Fox,2025-26,2026-04-04,SAS @ DEN,14,4,4
Victor Wembanyama,2025-26,2026-04-04,SAS @ DEN,34,18,7
Devin Vassell,2025-26,2026-04-04,SAS @ DEN,18,5,2
Julius Randle,2025-26,2026-04-03,MIN @ PHI,21,7,3
Jalen Brunson,2025-26,2026-04-03,NYK vs. CHI,17,1,10
OG Anunoby,2025-26,2026-04-03,NYK vs. CHI,31,8,2
Josh Hart,2025-26,2026-04-03,NYK vs. CHI,7,11,4
Mikal Bridges,2025-26,2026-04-03,NYK vs. CHI,12,2,0
Julius Randle,2025-26,2026-04-02,MIN @ DET,27,6,6
Devin Vassell,2025-26,2026-04-02,SAS @ LAC,14,10,2
Keldon Johnson,2025-26,2026-04-02,SAS @ LAC,13,6,1
Stephon Castle,2025-26,2026-04-02,OKC vs. LAL,10,9,8
De'Aaron Fox,2025-26,2026-04-02,SAS @ LAC,22,8,5
OG Anunoby,2025-26,2026-04-01,NYK @ MEM,25,13,3
Keldon Johnson,2025-26,2026-04-01,SAS @ GSW,11,3,1
Victor Wembanyama,2025-26,2026-04-01,SAS @ GSW,41,18,3
Devin Vassell,2025-26,2026-04-01,SAS @ GSW,8,2,4
Mikal Bridges,2025-26,2026-04-01,NYK @ MEM,24,2,1
Josh Hart,2025-26,2026-04-01,NYK @ MEM,5,6,6
Karl-Anthony Towns,2025-26,2026-04-01,NYK @ MEM,20,11,11
De'Aaron Fox,2025-26,2026-04-01,SAS @ GSW,11,4,4
Jalen Brunson,2025-26,2026-03-31,NYK @ HOU,12,6,8
Josh Hart,2025-26,2026-03-31,NYK @ HOU,13,5,2
Mikal Bridges,2025-26,2026-03-31,NYK @ HOU,7,3,4
OG Anunoby,2025-26,2026-03-31,NYK @ HOU,8,6,0
Karl-Anthony Towns,2025-26,2026-03-31,NYK @ HOU,22,8,3
De'Aaron Fox,2025-26,2026-03-30,SAS vs. CHI,7,2,6
Julius Randle,2025-26,2026-03-30,MIN @ DAL,24,3,4
Keldon Johnson,2025-26,2026-03-30,SAS vs. CHI,15,2,1
Devin Vassell,2025-26,2026-03-30,SAS vs. CHI,6,7,3
Victor Wembanyama,2025-26,2026-03-30,SAS vs. CHI,41,16,4
Mikal Bridges,2025-26,2026-03-29,NYK @ OKC,15,1,1
Jalen Brunson,2025-26,2026-03-29,NYK @ OKC,32,5,5
OG Anunoby,2025-26,2026-03-29,NYK @ OKC,10,0,3
Josh Hart,2025-26,2026-03-29,NYK @ OKC,15,6,3
Stephon Castle,2025-26,2026-03-29,OKC vs. NYK,22,1,2
Karl-Anthony Towns,2025-26,2026-03-29,NYK @ OKC,15,18,2
Devin Vassell,2025-26,2026-03-28,SAS @ MIL,16,4,1
Julius Randle,2025-26,2026-03-28,MIN vs. DET,11,8,4
