PLAYER_NAME,GAME_DATE,MATCHUP,WL,PTS,AST,REB,BLK,STL,FG3M,FGM,MIN
De'Aaron Fox,2026-06-05,SAS vs. NYK,L,20,5,3,1,1,2,8,34
Devin Vassell,2026-06-05,SAS vs. NYK,L,14,5,9,1,0,3,4,38
Dylan Harper,2026-06-05,SAS vs. NYK,L,15,3,6,0,1,0,6,32
Harrison Barnes,2026-06-05,SAS vs. NYK,L,0,0,0,0,0,0,0,5
Jalen Brunson,2026-06-05,NYK @ SAS,W,20,6,5,0,5,2,7,38
Josh Hart,2026-06-05,NYK @ SAS,W,0,4,6,1,1,0,0,18
Julian Champagnie,2026-06-05,SAS vs. NYK,L,8,1,4,1,0,2,2,36
Karl-Anthony Towns,2026-06-05,NYK @ SAS,W,21,4,13,1,1,3,8,34
Keldon Johnson,2026-06-05,SAS vs. NYK,L,3,2,4,0,1,0,1,16
Mikal Bridges,2026-06-05,NYK @ SAS,W,20,6,6,0,1,4,8,41
Miles McBride,2026-06-05,NYK @ SAS,W,5,2,2,0,0,1,2,18
Mitchell Robinson,2026-06-05,NYK @ SAS,W,7,0,3,1,1,0,2,14
OG Anunoby,2026-06-05,NYK @ SAS,W,17,3,4,2,2,2,5,37
Victor Wembanyama,2026-06-05,SAS vs. NYK,L,29,2,9,4,2,2,11,40
De'Aaron Fox,2026-06-03,SAS vs. NYK,L,7,5,4,0,1,0,3,38
Devin Vassell,2026-06-03,SAS vs. NYK,L,9,3,9,0,0,1,4,36
Dylan Harper,2026-06-03,SAS vs. NYK,L,16,1,8,0,1,1,6,28
Harrison Barnes,2026-06-03,SAS vs. NYK,L,0,1,2,0,0,0,0,12
Jalen Brunson,2026-06-03,NYK @ SAS,W,30,2,3,0,0,2,12,37
Josh Hart,2026-06-03,NYK @ SAS,W,3,6,15,1,4,0,1,27
Julian Champagnie,2026-06-03,SAS vs. NYK,L,16,1,10,1,0,5,5,31
Karl-Anthony Towns,2026-06-03,NYK @ SAS,W,18,4,12,1,0,0,7,34
Keldon Johnson,2026-06-03,SAS vs. NYK,L,3,0,0,0,0,1,1,8
Mikal Bridges,2026-06-03,NYK @ SAS,W,9,3,3,0,2,0,3,28
Miles McBride,2026-06-03,NYK @ SAS,W,6,4,1,1,0,2,2,19
Mitchell Robinson,2026-06-03,NYK @ SAS,W,2,0,6,0,0,0,1,13
OG Anunoby,2026-06-03,NYK @ SAS,W,17,0,3,1,1,3,5,31
Victor Wembanyama,2026-06-03,SAS vs. NYK,L,26,2,12,3,1,2,6,38
De'Aaron Fox,2026-05-30,SAS @ OKC,W,15,5,0,0,3,3,6,36
Devin Vassell,2026-05-30,SAS @ OKC,W,11,3,6,0,2,1,4,33
Dylan Harper,2026-05-30,SAS @ OKC,W,12,3,7,0,0,2,5,27
Harrison Barnes,2026-05-30,SAS @ OKC,W,0,0,0,0,0,0,0,3
Julian Champagnie,2026-05-30,SAS @ OKC,W,20,1,6,0,1,6,6,38
Keldon Johnson,2026-05-30,SAS @ OKC,W,11,1,3,0,1,2,4,16
Victor Wembanyama,2026-05-30,SAS @ OKC,W,22,2,7,1,1,3,7,42
De'Aaron Fox,2026-05-28,SAS vs. OKC,W,5,7,5,0,0,0,1,26
Devin Vassell,2026-05-28,SAS vs. OKC,W,12,2,1,2,1,4,4,26
Dylan Harper,2026-05-28,SAS vs. OKC,W,18,4,6,0,0,2,6,22
Harrison Barnes,2026-05-28,SAS vs. OKC,W,6,0,1,0,0,2,2,13
Julian Champagnie,2026-05-28,SAS vs. OKC,W,10,2,6,2,1,2,4,25
Keldon Johnson,2026-05-28,SAS vs. OKC,W,9,0,3,0,1,1,4,18
Stephon Castle,2026-05-28,OKC @ SAS,L,1,1,0,0,0,0,0,10
Victor Wembanyama,2026-05-28,SAS vs. OKC,W,28,2,10,3,2,4,10,28
De'Aaron Fox,2026-05-26,SAS @ OKC,L,9,8,4,0,3,0,4,33
Devin Vassell,2026-05-26,SAS @ OKC,L,6,4,4,0,3,2,2,36
Dylan Harper,2026-05-26,SAS @ OKC,L,5,3,6,0,0,1,1,25
Harrison Barnes,2026-05-26,SAS @ OKC,L,0,0,0,0,0,0,0,4
Julian Champagnie,2026-05-26,SAS @ OKC,L,22,1,8,0,3,4,8,30
Keldon Johnson,2026-05-26,SAS @ OKC,L,15,2,4,0,0,1,7,20
Victor Wembanyama,2026-05-26,SAS @ OKC,L,20,1,6,3,2,0,4,38
Jalen Brunson,2026-05-25,NYK @ CLE,W,15,5,2,0,0,2,6,31
Josh Hart,2026-05-25,NYK @ CLE,W,6,6,11,0,2,1,2,24
Karl-Anthony Towns,2026-05-25,NYK @ CLE,W,19,3,14,2,2,3,8,26
Mikal Bridges,2026-05-25,NYK @ CLE,W,15,5,3,0,0,1,4,30
Miles McBride,2026-05-25,NYK @ CLE,W,11,2,2,0,3,3,4,17
Mitchell Robinson,2026-05-25,NYK @ CLE,W,8,0,10,0,1,0,4,18
OG Anunoby,2026-05-25,NYK @ CLE,W,17,4,7,0,2,1,6,27
De'Aaron Fox,2026-05-24,SAS vs. OKC,W,12,5,10,1,1,1,5,31
Devin Vassell,2026-05-24,SAS vs. OKC,W,13,3,6,1,1,2,3,33
Dylan Harper,2026-05-24,SAS vs. OKC,W,7,2,5,0,0,0,2,21
Harrison Barnes,2026-05-24,SAS vs. OKC,W,5,0,3,0,1,0,0,16
Julian Champagnie,2026-05-24,SAS vs. OKC,W,2,2,4,1,0,0,1,29
Keldon Johnson,2026-05-24,SAS vs. OKC,W,6,0,3,0,1,0,3,18
Victor Wembanyama,2026-05-24,SAS vs. OKC,W,33,5,8,3,2,3,11,31
Jalen Brunson,2026-05-23,NYK @ CLE,W,30,6,3,0,1,0,10,41
Josh Hart,2026-05-23,NYK @ CLE,W,12,5,9,0,4,2,5,35
Karl-Anthony Towns,2026-05-23,NYK @ CLE,W,13,7,8,1,3,1,4,36
Mikal Bridges,2026-05-23,NYK @ CLE,W,22,2,6,2,3,0,11,39
Miles McBride,2026-05-23,NYK @ CLE,W,5,0,0,1,0,1,1,14
Mitchell Robinson,2026-05-23,NYK @ CLE,W,2,0,3,0,0,0,1,9
OG Anunoby,2026-05-23,NYK @ CLE,W,21,4,7,0,0,3,6,31
De'Aaron Fox,2026-05-22,SAS vs. OKC,L,15,6,7,0,1,1,7,31
Devin Vassell,2026-05-22,SAS vs. OKC,L,20,2,7,0,4,3,6,36
Dylan Harper,2026-05-22,SAS vs. OKC,L,6,2,3,0,0,1,2,17
Harrison Barnes,2026-05-22,SAS vs. OKC,L,0,0,0,0,0,0,0,3
Julian Champagnie,2026-05-22,SAS vs. OKC,L,10,2,5,1,1,2,4,35
Keldon Johnson,2026-05-22,SAS vs. OKC,L,5,0,2,0,0,1,1,12
Victor Wembanyama,2026-05-22,SAS vs. OKC,L,26,3,4,2,1,2,8,39
Jalen Brunson,2026-05-21,NYK vs. CLE,W,19,14,3,0,0,1,7,40
Josh Hart,2026-05-21,NYK vs. CLE,W,26,7,4,0,2,5,10,33
Karl-Anthony Towns,2026-05-21,NYK vs. CLE,W,18,1,13,0,0,3,7,36
Mikal Bridges,2026-05-21,NYK vs. CLE,W,19,3,3,0,1,1,9,40
Miles McBride,2026-05-21,NYK vs. CLE,W,5,3,4,0,0,1,2,14
Mitchell Robinson,2026-05-21,NYK vs. CLE,W,4,0,4,1,0,0,2,12
OG Anunoby,2026-05-21,NYK vs. CLE,W,14,3,4,3,1,2,5,32
Devin Vassell,2026-05-20,SAS @ OKC,L,22,1,4,1,0,6,7,38
Dylan Harper,2026-05-20,SAS @ OKC,L,12,3,2,0,0,0,5,25
Harrison Barnes,2026-05-20,SAS @ OKC,L,5,0,3,0,0,1,1,12
Julian Champagnie,2026-05-20,SAS @ OKC,L,8,2,5,0,1,1,2,36
Keldon Johnson,2026-05-20,SAS @ OKC,L,10,1,5,0,0,2,4,26
Stephon Castle,2026-05-20,OKC vs. SAS,W,4,0,1,0,2,0,2,7
