GAME_DATE,TEAM_NAME,MATCHUP,WL,PTS,FG_PCT,FT_PCT,FG3_PCT
2026-04-12,Charlotte Hornets,CHA @ NYK,W,110,0.459,0.765,0.365
2026-04-12,Brooklyn Nets,BKN @ TOR,L,101,0.407,0.759,0.265
2026-04-12,Atlanta Hawks,ATL @ MIA,L,117,0.473,0.667,0.386
2026-04-12,Boston Celtics,BOS vs. ORL,W,113,0.414,1.0,0.38
2026-04-12,Cleveland Cavaliers,CLE vs. WAS,W,130,0.539,0.762,0.419
2026-04-12,New Orleans Pelicans,NOP @ MIN,L,126,0.421,0.816,0.238
2026-04-12,Chicago Bulls,CHI @ DAL,L,128,0.491,0.737,0.263
2026-04-12,Dallas Mavericks,DAL vs. CHI,W,149,0.52,0.852,0.449
2026-04-12,Denver Nuggets,DEN @ SAS,W,128,0.5,0.773,0.367
2026-04-12,Golden State Warriors,GSW @ LAC,L,110,0.419,0.844,0.282
2026-04-12,LA Clippers,LAC vs. GSW,W,115,0.472,0.895,0.359
2026-04-12,Los Angeles Lakers,LAL vs. UTA,W,131,0.548,0.824,0.441
2026-04-12,Miami Heat,MIA vs. ATL,W,143,0.563,0.706,0.405
2026-04-12,Milwaukee Bucks,MIL @ PHI,L,106,0.433,0.682,0.277
2026-04-12,Minnesota Timberwolves,MIN vs. NOP,W,132,0.506,0.744,0.27
2026-04-12,Houston Rockets,HOU vs. MEM,W,132,0.457,0.733,0.286
2026-04-12,New York Knicks,NYK vs. CHA,L,96,0.433,0.625,0.325
2026-04-12,San Antonio Spurs,SAS vs. DEN,L,118,0.455,0.722,0.319
2026-04-12,Orlando Magic,ORL @ BOS,L,108,0.396,0.8,0.279
2026-04-12,Washington Wizards,WAS @ CLE,L,117,0.467,0.789,0.439
2026-04-12,Memphis Grizzlies,MEM @ HOU,L,101,0.411,1.0,0.265
2026-04-12,Utah Jazz,UTA @ LAL,L,107,0.436,0.667,0.206
2026-04-12,Toronto Raptors,TOR vs. BKN,W,136,0.638,0.759,0.444
2026-04-12,Oklahoma City Thunder,OKC vs. PHX,L,103,0.432,0.333,0.391
2026-04-12,Detroit Pistons,DET @ IND,W,133,0.562,0.818,0.455
2026-04-12,Sacramento Kings,SAC @ POR,L,110,0.482,0.742,0.333
2026-04-12,Portland Trail Blazers,POR vs. SAC,W,122,0.465,0.8,0.348
2026-04-12,Phoenix Suns,PHX @ OKC,W,135,0.554,0.5,0.488
2026-04-12,Philadelphia 76ers,PHI vs. MIL,W,126,0.516,0.762,0.39
2026-04-12,Indiana Pacers,IND vs. DET,L,121,0.456,0.8,0.426
2026-04-10,Denver Nuggets,DEN vs. OKC,W,127,0.505,0.923,0.488
2026-04-10,Milwaukee Bucks,MIL vs. BKN,W,125,0.556,0.688,0.5
2026-04-10,Miami Heat,MIA @ WAS,W,140,0.598,0.846,0.541
2026-04-10,Los Angeles Lakers,LAL vs. PHX,W,101,0.507,0.767,0.4
2026-04-10,LA Clippers,LAC @ POR,L,97,0.434,1.0,0.325
2026-04-10,Houston Rockets,HOU vs. MIN,L,132,0.609,0.786,0.211
2026-04-10,Golden State Warriors,GSW @ SAC,L,118,0.481,0.929,0.389
2026-04-10,Chicago Bulls,CHI vs. ORL,L,103,0.437,0.654,0.256
2026-04-10,Dallas Mavericks,DAL @ SAS,L,120,0.459,0.789,0.375
